Q1. 年齢を教えてください,Q2. 性別を教えてください,Q3. 現在の職種を教えてください,Q4. この仕事を受注したサービス・経路を教えてください（複数回答可）,Q5. その仕事を受注・開始した年を教えてください（西暦）,Q6. その仕事を受注・開始した月を教えてください,Q7. 仕事の主なカテゴリを教えてください,Q8. 具体的に行った仕事内容を教えてください,Q9. 契約・報酬の形式を教えてください,Q10. この仕事で受け取った報酬額を教えてください,Q11. 実際の作業時間を教えてください（合計）,Q12. 使用したAI・AIツールを教えてください（複数回答可）,Q13. その中で一番使ったAIを1つ教えてください,Q14. AIを何に使いましたか（複数回答可）,Q15. 仕事全体のうちAIが担った割合を教えてください,Q16. AIの出力を人間がどれくらい修正しましたか,Q17. もしAIがなければ、この仕事を受けましたか,Q18. クライアント側のAI利用ルールはどうでしたか,Q19. AI利用をクライアントに伝えましたか,Q20. 修正依頼の回数を教えてください（0回を含む）,Q21. その仕事の結果はどうなりましたか,Q22. また同じような仕事を受けたいと思いますか,Q23. 最後に、ご意見・ご感想がありましたらご自由にお書きください
40代,男性,学生,"直接契約
クラウドワークス",2025年,03月,ライティング・記事作成,競合サービスの調査レポートをまとめました,固定報酬制,20000,5〜10時間,"ChatGPT
Copilot
Gemini",Gemini,要約,0%,半分程度修正した,変わらず受けた,AI利用可,伝えた,0回,問題なく完了した,どちらとも言えない,
20代,男性,会社員（副業として）,ココナラ、クラウドワークス,2025,4月,データ入力・リスト作成,求人原稿の作成と校正を行いました,固定報酬制,"約15,000円",20時間以上,chatgpt、copilot、gemini,chatgpt,構成案・アウトライン作成、リサーチ・情報収集,51〜75%,半分程度修正した,受けなかった,AI利用禁止,,3回,問題なく完了した,受けてもよい,文章の型が単調になりやすいので手を入れています
50代,女性,フリーランス,クラウドワークス,2025,4月,ライティング・記事作成,社内マニュアルのたたき台を作成しました,コンペ形式,30000円,1〜3時間,"ジェミニ,クロード,Chat GPT",Chat GPT,"リサーチ・情報収集,構成案・アウトライン作成",51〜75%,ほぼ書き直した,わからない,ルールなし・不明,わからない,3回,問題なく完了した,受けたくない,
40代,男性,ﾌﾘｰﾗﾝｽ,"知人からの紹介
クラウドワークス",2024,12月,カスタマーサポート,英語のマニュアルを日本語に翻訳しました,固定報酬制,"30,000円",1〜3時間,"Gemini
Copilot
Claude
ＣｈａｔＧＰＴ",Gemini,アイデア出し,76〜99%,ほとんど修正していない,受けなかった,AI利用禁止,伝えていない,2回,問題なく完了した,受けてもよい,たたき台づくりが速くなり、納期に余裕が持てました
40代,女性,主婦・主夫,クラウドワークス、直接契約,2024,4月,翻訳,社内マニュアルのたたき台を作成しました,時間単価制,12万円,3〜5時間,Claude、ChatGPT,Claude,文章の下書き作成、校正・推敲、表・データの整理,26〜50%,半分程度修正した,受けなかった,AI利用可,聞かれたら答えた,0回,問題なく完了した,どちらとも言えない,特になし
50代,男性,主婦・主夫,ランサーズ,2024,11月,翻訳,英語のマニュアルを日本語に翻訳しました,タスク形式,5000,〜1時間,"copilot,chatgpt,Stable Diffusion,gemini",chatgpt,"リサーチ・情報収集,文章の下書き作成,要約,構成案・アウトライン作成",51〜75%
40代,男性,会社員（副業として）,クラウドワークス,2025,2月,ライティング・記事作成,セミナー録音の文字起こしと議事録化を行いました,コンペ形式,"約120,000円",3〜5時間,"ジェミニ
クロード",ジェミニ,翻訳,51〜75%,少し修正した,変わらず受けた,AI利用可,伝えた,1回,修正が多かった,ぜひ受けたい,納品物の最終責任は自分にあると強く感じます
20代,女性,フリーランス,ランサーズ、クラウドワークス,2024,7月,音声の文字起こし,英語のマニュアルを日本語に翻訳しました,固定報酬制,5000円,5〜10時間,NotebookLM、Perplexity,NotebookLM,文章の下書き作成、リサーチ・情報収集、要約、翻訳,,少し修正した,変わらず受けた,ルールなし・不明,伝えていない,1回,高評価だった,どちらとも言えない,思ったより修正に時間がかかりました
40代,男性,フリーランス,直接契約,2024,10月,プログラミング,ECサイトの商品説明文を30本作成しました,固定報酬制,"15,000円",1〜3時間,"ChatGPT,Copilot",ChatGPT,文章の下書き作成,51〜75%,半分程度修正した,受けたが時間がかかった,AI利用に条件あり,わからない,0回,高評価だった,受けてもよい,納品物の最終責任は自分にあると強く感じます
20代,男性,会社員（副業として）,クラウドワークス,2024,7月,リサーチ・情報収集,セミナー録音の文字起こしと議事録化を行いました,固定報酬制,1万2000円,5〜10時間,"NotebookLM
gemini",gemini,"文章の下書き作成
リサーチ・情報収集
コード生成
校正・推敲",100%,少し修正した,変わらず受けた,AI利用に条件あり,伝えた,1回,契約解除・不採用になった,受けてもよい,
20代,女性,主婦・主夫,クラウドワークス、ランサーズ,2025,5月,資料作成,問い合わせ対応用のテンプレート文を整備しました,固定報酬制,80000,1〜3時間,Chat GPT、クロード、ジェミニ、NotebookLM,NotebookLM,リサーチ・情報収集、構成案・アウトライン作成,26〜50%,少し修正した,受けたが時間がかかった,ルールなし・不明,伝えていない,0回,問題なく完了した,受けてもよい,事実確認は結局自分でやる必要があります
50代,女性,学生,"直接契約,ココナラ",2024,12月,翻訳,セミナー録音の文字起こしと議事録化を行いました,時間単価制,"約3,000円",5〜10時間,"ＣｈａｔＧＰＴ,Gemini,Copilot",Gemini,"リサーチ・情報収集,校正・推敲",1〜25%,少し修正した,受けたが時間がかかった,ルールなし・不明,伝えていない,3回,修正が多かった,あまり受けたくない,
50代,男性,フリーランス,"直接契約
クラウドワークス",2024,2月,データ入力・リスト作成,企業ブログ用の記事を構成案から執筆しました,固定報酬制,30000円,3〜5時間,"Gemini
ChatGPT",ChatGPT,"議事録の整理
構成案・アウトライン作成
翻訳",76〜99%,ほとんど修正していない,わからない,AI利用禁止,伝えた,1回,問題なく完了した,受けてもよい,使い方を覚えるまでは逆に時間がかかりました
60代,女性,自営業,ランサーズ,2025,5月,翻訳,SNS投稿用の短文を50本作成しました,時間単価制,"12,000円",10〜20時間,chatgpt、NotebookLM、copilot、claude,claude,キャッチコピー案の作成、文章の下書き作成、構成案・アウトライン作成,26〜50%,半分程度修正した,受けたが時間がかかった,ルールなし・不明,伝えていない,1回,問題なく完了した,どちらとも言えない,
60代,女性,学生,"クラウドワークス,知人からの紹介",2023,8月,ライティング・記事作成,求人原稿の作成と校正を行いました,固定報酬制,1万5000円,10〜20時間,"クロード,ジェミニ,Chat GPT,GitHub Copilot",ジェミニ,"翻訳,構成案・アウトライン作成",51〜75%,ほとんど修正していない,変わらず受けた,ルールなし・不明,伝えた,0回,高評価だった,どちらとも言えない,
30代,男性,無職・求職中,"クラウドワークス
ココナラ",2024,5月,リサーチ・情報収集,バナー用のラフ画像を生成しました,タスク形式,80000,1〜3時間,"Perplexity
Gemini",Gemini,"リサーチ・情報収集
画像生成",26〜50%,大幅に修正した,変わらず受けた,AI利用に条件あり,伝えていない,0回,修正が多かった,どちらとも言えない,
30代,女性,主婦・主夫,クラウドワークス,2023,1月,資料作成,企業ブログ用の記事を構成案から執筆しました,固定報酬制,"約30,000円",5〜10時間,ChatGPT、Claude、Gemini,ChatGPT,アイデア出し,51〜75%,ほぼ書き直した,受けたが時間がかかった,ルールなし・不明,わからない,3回,契約解除・不採用になった,どちらとも言えない,なし
40代,男性,フリーランス,クラウドワークス,2025,3月,ライティング・記事作成,求人原稿の作成と校正を行いました,固定報酬制,8000円,1〜3時間,chatgpt,chatgpt,"校正・推敲,要約,構成案・アウトライン作成,文章の下書き作成",76〜99%,半分程度修正した,変わらず受けた,AI利用に条件あり,伝えた,1回,問題なく完了した,受けてもよい,クライアントに伝えたら好意的に受け止められました

