Q1. 年齢を教えてください,Q2. 性別を教えてください,Q3. 現在の職種を教えてください,Q4. この仕事を受注したサービス・経路を教えてください（複数回答可）,Q5. その仕事を受注・開始した年を教えてください（西暦）,Q6. その仕事を受注・開始した月を教えてください,Q7. 仕事の主なカテゴリを教えてください,Q8. 具体的に行った仕事内容を教えてください,Q9. 契約・報酬の形式を教えてください,Q10. この仕事で受け取った報酬額を教えてください,Q11. 実際の作業時間を教えてください（合計）,Q12. 使用したAI・AIツールを教えてください（複数回答可）,Q13. その中で一番使ったAIを1つ教えてください,Q14. AIを何に使いましたか（複数回答可）,Q15. 仕事全体のうちAIが担った割合を教えてください,Q16. AIの出力を人間がどれくらい修正しましたか,Q17. もしAIがなければ、この仕事を受けましたか,Q18. クライアント側のAI利用ルールはどうでしたか,Q19. AI利用をクライアントに伝えましたか,Q20. 修正依頼の回数を教えてください（0回を含む）,Q21. その仕事の結果はどうなりましたか,Q22. また同じような仕事を受けたいと思いますか,Q23. 最後に、ご意見・ご感想がありましたらご自由にお書きください
30代,女性,パート・アルバイト,直接契約、ココナラ,2025,1月,データ入力・リスト作成,ECサイトの商品説明文を30本作成しました,固定報酬制,"50,001〜100,000円",3〜5時間,Claude、Copilot、ChatGPT、Gemini,Claude,校正・推敲、文章の下書き作成、リサーチ・情報収集,76〜99%,半分程度修正した,受けたが時間がかかった,AI利用禁止,伝えていない,4回以上,問題なく完了した,受けてもよい,
50代,女性,自営業,ランサーズ、クラウドワークス,2025,6月,翻訳,既存記事のリライトと見出しの調整を行いました,タスク形式,"5,001〜10,000円",3〜5時間,Stable Diffusion,Stable Diffusion,リサーチ・情報収集、キャッチコピー案の作成,76〜99%,少し修正した,受けたが時間がかかった,ルールなし・不明,聞かれたら答えた,0回,高評価だった,ぜひ受けたい,
30代,女性,会社員（副業として）,クラウドワークス、ココナラ,2025,3月,SNS運用代行,動画の字幕とテロップ用テキストを作成しました,固定報酬制,"30,001〜50,000円",5〜10時間,Gemini、ChatGPT、Perplexity,ChatGPT,リサーチ・情報収集,76〜99%,大幅に修正した,受けたが時間がかかった,ルールなし・不明,伝えていない,1回,修正が多かった,ぜひ受けたい,作業時間は体感で半分くらいになりました
40代,女性,主婦・主夫,その他のクラウドソーシング,2025,5月,ライティング・記事作成,セミナー録音の文字起こしと議事録化を行いました,時間単価制,"5,001〜10,000円",20時間以上,ChatGPT、Gemini,ChatGPT,画像生成、議事録の整理、構成案・アウトライン作成,26〜50%,ほぼ書き直した,変わらず受けた,AI利用に条件あり,聞かれたら答えた,2回,修正が多かった,受けてもよい,思ったより修正に時間がかかりました
50代,女性,会社員（副業として）,クラウドワークス,2025,7月,資料作成,プレスリリースの下書きを作成しました,コンペ形式,"〜5,000円",3〜5時間,Copilot、Stable Diffusion,Copilot,構成案・アウトライン作成、翻訳,51〜75%,半分程度修正した,受けたが時間がかかった,AI利用に条件あり,聞かれたら答えた,3回,問題なく完了した,ぜひ受けたい,特になし
10代,女性,フリーランス,ココナラ,2024,3月,カスタマーサポート,社内マニュアルのたたき台を作成しました,固定報酬制,"5,001〜10,000円",5〜10時間,ChatGPT、Gemini、Claude、Copilot,ChatGPT,文章の下書き作成、翻訳、リサーチ・情報収集、校正・推敲,26〜50%,半分程度修正した,受けたが時間がかかった,ルールなし・不明,伝えた,2回,契約解除・不採用になった,受けてもよい,下調べの時間が減った分、推敲に時間を回せました
60代,女性,会社員（副業として）,クラウドワークス、ランサーズ,2025,3月,ライティング・記事作成,ランディングページのキャッチコピーを20案出しました,固定報酬制,"〜5,000円",3〜5時間,ChatGPT,ChatGPT,コード生成、表・データの整理、キャッチコピー案の作成,26〜50%,半分程度修正した,変わらず受けた,AI利用可,伝えていない,1回,問題なく完了した,受けてもよい,
20代,女性,会社員（本業として）,クラウドワークス,2025,4月,プログラミング,競合サービスの調査レポートをまとめました,時間単価制,"〜5,000円",10〜20時間,Perplexity、ChatGPT、Gemini、NotebookLM,NotebookLM,議事録の整理、構成案・アウトライン作成,51〜75%,ほとんど修正していない,受けなかった,AI利用可,伝えていない,0回,高評価だった,受けてもよい,文章の型が単調になりやすいので手を入れています
40代,男性,パート・アルバイト,クラウドワークス、ココナラ,2024,4月,ライティング・記事作成,バナー用のラフ画像を生成しました,固定報酬制,"10,001〜30,000円",3〜5時間,ChatGPT、NotebookLM、Gemini,Gemini,アイデア出し、キャッチコピー案の作成,26〜50%,少し修正した,受けたが時間がかかった,AI利用禁止,伝えていない,3回,問題なく完了した,受けてもよい,
40代,その他,主婦・主夫,直接契約,2024,2月,ライティング・記事作成,プレスリリースの下書きを作成しました,固定報酬制,"5,001〜10,000円",1〜3時間,Midjourney、Canva AI,Canva AI,キャッチコピー案の作成、翻訳、表・データの整理,51〜75%,半分程度修正した,変わらず受けた,AI利用禁止,伝えた,3回,問題なく完了した,ぜひ受けたい,
20代,男性,主婦・主夫,ランサーズ,2024,4月,資料作成,社内マニュアルのたたき台を作成しました,固定報酬制,"10,001〜30,000円",1〜3時間,Perplexity、Midjourney、Claude,Claude,翻訳、アイデア出し,76〜99%,半分程度修正した,変わらず受けた,ルールなし・不明,わからない,1回,修正が多かった,受けてもよい,
50代,女性,フリーランス,ランサーズ、クラウドワークス,2025,3月,プログラミング,競合サービスの調査レポートをまとめました,固定報酬制,"50,001〜100,000円",10〜20時間,ChatGPT、Perplexity、Claude、Canva AI,Claude,リサーチ・情報収集、文章の下書き作成、アイデア出し、構成案・アウトライン作成,1〜25%,半分程度修正した,変わらず受けた,ルールなし・不明,伝えていない,1回,問題なく完了した,ぜひ受けたい,
20代,男性,会社員（副業として）,クラウドワークス,2025,11月,ライティング・記事作成,英語のマニュアルを日本語に翻訳しました,タスク形式,"10,001〜30,000円",5〜10時間,Gemini、ChatGPT、Perplexity、NotebookLM,NotebookLM,表・データの整理、構成案・アウトライン作成、文章の下書き作成,1〜25%,大幅に修正した,受けたが時間がかかった,AI利用可,伝えていない,0回,問題なく完了した,受けてもよい,単価が下がってきている気がして複雑です
40代,男性,学生,クラウドワークス、ランサーズ,2024,8月,SNS運用代行,セミナー録音の文字起こしと議事録化を行いました,固定報酬制,"10,001〜30,000円",3〜5時間,ChatGPT、Gemini,Gemini,キャッチコピー案の作成,51〜75%,ほぼ書き直した,受けなかった,ルールなし・不明,聞かれたら答えた,1回,修正が多かった,ぜひ受けたい,文章の型が単調になりやすいので手を入れています
30代,女性,学生,クラウドワークス、ランサーズ,2025,10月,翻訳,ECサイトの商品説明文を30本作成しました,固定報酬制,"10,001〜30,000円",1〜3時間,ChatGPT、Canva AI、Claude,ChatGPT,翻訳、校正・推敲、リサーチ・情報収集,1〜25%,半分程度修正した,受けなかった,AI利用禁止,わからない,1回,問題なく完了した,ぜひ受けたい,AI利用の可否は最初に確認しておくと安心です
30代,女性,会社員（副業として）,その他のクラウドソーシング,2024,12月,プログラミング,バナー用のラフ画像を生成しました,タスク形式,"50,001〜100,000円",5〜10時間,ChatGPT、Copilot、Canva AI,Copilot,文章の下書き作成、要約,26〜50%,少し修正した,変わらず受けた,AI利用可,伝えていない,1回,問題なく完了した,ぜひ受けたい,
50代,女性,会社員（副業として）,ランサーズ,2025,10月,プログラミング,ECサイトの商品説明文を30本作成しました,固定報酬制,"10,001〜30,000円",20時間以上,ChatGPT、Perplexity,ChatGPT,表・データの整理、リサーチ・情報収集,26〜50%,半分程度修正した,わからない,ルールなし・不明,聞かれたら答えた,3回,高評価だった,受けたくない,クライアントに伝えたら好意的に受け止められました
30代,男性,フリーランス,クラウドワークス、SNS経由,2024,2月,データ入力・リスト作成,既存記事のリライトと見出しの調整を行いました,コンペ形式,"〜5,000円",3〜5時間,Claude、Gemini、ChatGPT、Perplexity,ChatGPT,コード生成、その他（関数の作成、テスト項目の洗い出し）,0%,ほとんど修正していない,変わらず受けた,AI利用に条件あり,聞かれたら答えた,1回,高評価だった,受けてもよい,下調べの時間が減った分、推敲に時間を回せました
30代,女性,会社員（副業として）,クラウドワークス、ココナラ,2024,7月,音声の文字起こし,社内マニュアルのたたき台を作成しました,タスク形式,"100,001円以上",3〜5時間,Gemini、NotebookLM,Gemini,要約、リサーチ・情報収集、翻訳,51〜75%,少し修正した,受けたが時間がかかった,ルールなし・不明,聞かれたら答えた,1回,修正が多かった,どちらとも言えない,作業時間は体感で半分くらいになりました
70代以上,女性,主婦・主夫,クラウドワークス,2023,1月,資料作成,企業ブログ用の記事を構成案から執筆しました,コンペ形式,"10,001〜30,000円",5〜10時間,Claude、ChatGPT、Gemini、NotebookLM,ChatGPT,構成案・アウトライン作成、キャッチコピー案の作成、文章の下書き作成,51〜75%,半分程度修正した,受けたが時間がかかった,AI利用禁止,伝えた,2回,問題なく完了した,受けてもよい,納品物の最終責任は自分にあると強く感じます
40代,男性,主婦・主夫,ココナラ、知人からの紹介,2024,7月,音声の文字起こし,表計算の集計マクロを作成しました,固定報酬制,"〜5,000円",1〜3時間,ChatGPT、Gemini、Copilot、Claude,ChatGPT,構成案・アウトライン作成,100%,半分程度修正した,受けたが時間がかかった,AI利用禁止,伝えていない,1回,修正が多かった,どちらとも言えない,思ったより修正に時間がかかりました
30代,女性,会社員（副業として）,クラウドワークス、ランサーズ,2024,6月,リサーチ・情報収集,社内マニュアルのたたき台を作成しました,タスク形式,"100,001円以上",1〜3時間,ChatGPT、Claude、NotebookLM、Felo,ChatGPT,リサーチ・情報収集,51〜75%,大幅に修正した,受けたが時間がかかった,AI利用に条件あり,伝えた,0回,高評価だった,受けてもよい,AI利用の可否は最初に確認しておくと安心です
30代,女性,会社員（副業として）,クラウドワークス,2025,1月,音声の文字起こし,競合サービスの調査レポートをまとめました,タスク形式,"30,001〜50,000円",10〜20時間,ChatGPT、Claude,ChatGPT,翻訳、リサーチ・情報収集、構成案・アウトライン作成、画像生成,76〜99%,半分程度修正した,受けなかった,ルールなし・不明,聞かれたら答えた,0回,高評価だった,どちらとも言えない,
40代,男性,フリーランス,ランサーズ、クラウドワークス,2024,9月,リサーチ・情報収集,プレスリリースの下書きを作成しました,固定報酬制,"〜5,000円",1〜3時間,Gemini、ChatGPT,ChatGPT,校正・推敲、議事録の整理,1〜25%,半分程度修正した,変わらず受けた,ルールなし・不明,わからない,1回,高評価だった,受けてもよい,作業時間は体感で半分くらいになりました
50代,女性,会社員（副業として）,クラウドワークス、ココナラ,2024,10月,リサーチ・情報収集,動画の字幕とテロップ用テキストを作成しました,固定報酬制,"50,001〜100,000円",1〜3時間,ChatGPT,ChatGPT,アイデア出し、校正・推敲,26〜50%,半分程度修正した,受けたが時間がかかった,ルールなし・不明,聞かれたら答えた,2回,高評価だった,受けてもよい,納品物の最終責任は自分にあると強く感じます
40代,女性,会社員（本業として）,ランサーズ、その他のクラウドソーシング,2023,12月,ライティング・記事作成,アンケートの自由記述を分類して集計しました,固定報酬制,"10,001〜30,000円",〜1時間,ChatGPT,ChatGPT,文章の下書き作成、翻訳、校正・推敲,76〜99%,少し修正した,受けたが時間がかかった,AI利用禁止,伝えた,4回以上,高評価だった,受けてもよい,
20代,女性,フリーランス,その他のクラウドソーシング,2024,12月,データ入力・リスト作成,アンケートの自由記述を分類して集計しました,固定報酬制,"5,001〜10,000円",1〜3時間,ChatGPT,ChatGPT,構成案・アウトライン作成、翻訳,51〜75%,半分程度修正した,受けたが時間がかかった,AI利用禁止,伝えた,0回,修正が多かった,ぜひ受けたい,たたき台づくりが速くなり、納期に余裕が持てました
30代,回答しない,パート・アルバイト,ココナラ,2025,9月,音声の文字起こし,英語のマニュアルを日本語に翻訳しました,固定報酬制,"〜5,000円",3〜5時間,Felo、ChatGPT、Gemini、Copilot,Copilot,その他（関数の作成、テスト項目の洗い出し）、キャッチコピー案の作成,26〜50%,ほぼ書き直した,受けたが時間がかかった,AI利用に条件あり,伝えていない,2回,問題なく完了した,受けてもよい,事実確認は結局自分でやる必要があります
50代,男性,主婦・主夫,ランサーズ,2023,11月,ライティング・記事作成,ランディングページのキャッチコピーを20案出しました,固定報酬制,"5,001〜10,000円",5〜10時間,ChatGPT、Claude,ChatGPT,文章の下書き作成、翻訳,51〜75%,半分程度修正した,受けたが時間がかかった,ルールなし・不明,伝えた,2回,高評価だった,受けてもよい,AI利用の可否は最初に確認しておくと安心です
30代,女性,フリーランス,クラウドワークス、知人からの紹介,2025,7月,ライティング・記事作成,ECサイトの商品説明文を30本作成しました,固定報酬制,"50,001〜100,000円",20時間以上,ChatGPT、Copilot,ChatGPT,表・データの整理、リサーチ・情報収集,100%,少し修正した,受けたが時間がかかった,ルールなし・不明,聞かれたら答えた,3回,問題なく完了した,ぜひ受けたい,AI利用の可否は最初に確認しておくと安心です
60代,男性,フリーランス,クラウドワークス,2024,8月,リサーチ・情報収集,バナー用のラフ画像を生成しました,タスク形式,"〜5,000円",10〜20時間,ChatGPT、Gemini、Claude、Perplexity,Claude,構成案・アウトライン作成、文章の下書き作成,1〜25%,半分程度修正した,変わらず受けた,ルールなし・不明,伝えていない,2回,問題なく完了した,受けてもよい,なし
20代,男性,自営業,ココナラ,2024,8月,動画編集,バナー用のラフ画像を生成しました,固定報酬制,"5,001〜10,000円",5〜10時間,Gemini,Gemini,構成案・アウトライン作成、リサーチ・情報収集、要約、文章の下書き作成,51〜75%,半分程度修正した,わからない,ルールなし・不明,伝えていない,1回,問題なく完了した,どちらとも言えない,使い方を覚えるまでは逆に時間がかかりました
50代,男性,フリーランス,ランサーズ,2024,12月,プログラミング,既存記事のリライトと見出しの調整を行いました,固定報酬制,"〜5,000円",10〜20時間,ChatGPT、Claude,ChatGPT,リサーチ・情報収集,100%,半分程度修正した,受けたが時間がかかった,AI利用禁止,伝えた,1回,高評価だった,受けてもよい,特になし
40代,女性,パート・アルバイト,クラウドワークス,2024,10月,ライティング・記事作成,バナー用のラフ画像を生成しました,固定報酬制,"30,001〜50,000円",3〜5時間,ChatGPT,ChatGPT,構成案・アウトライン作成、画像生成,26〜50%,ほぼ書き直した,受けたが時間がかかった,ルールなし・不明,伝えていない,2回,契約解除・不採用になった,受けたくない,下調べの時間が減った分、推敲に時間を回せました
30代,回答しない,自営業,ランサーズ,2025,7月,資料作成,プレスリリースの下書きを作成しました,固定報酬制,"5,001〜10,000円",〜1時間,ChatGPT、Claude,ChatGPT,構成案・アウトライン作成、リサーチ・情報収集,76〜99%,大幅に修正した,受けたが時間がかかった,AI利用に条件あり,伝えていない,2回,修正が多かった,受けてもよい,使い方を覚えるまでは逆に時間がかかりました
50代,女性,主婦・主夫,ランサーズ,2025,11月,データ入力・リスト作成,既存記事のリライトと見出しの調整を行いました,固定報酬制,"〜5,000円",10〜20時間,Perplexity、ChatGPT,Perplexity,キャッチコピー案の作成、校正・推敲、要約,51〜75%,半分程度修正した,受けたが時間がかかった,ルールなし・不明,聞かれたら答えた,4回以上,修正が多かった,あまり受けたくない,
20代,女性,主婦・主夫,クラウドワークス,2025,2月,プログラミング,社内マニュアルのたたき台を作成しました,固定報酬制,"100,001円以上",1〜3時間,Perplexity、Claude、Felo,Claude,キャッチコピー案の作成、文章の下書き作成、校正・推敲、表・データの整理,76〜99%,半分程度修正した,受けたが時間がかかった,AI利用可,伝えていない,3回,高評価だった,受けてもよい,事実確認は結局自分でやる必要があります
40代,女性,会社員（副業として）,クラウドワークス,2024,3月,資料作成,アンケートの自由記述を分類して集計しました,固定報酬制,"10,001〜30,000円",1〜3時間,Claude、Gemini,Gemini,リサーチ・情報収集,51〜75%,大幅に修正した,受けなかった,ルールなし・不明,伝えた,0回,問題なく完了した,受けてもよい,下調べの時間が減った分、推敲に時間を回せました
20代,男性,主婦・主夫,クラウドワークス,2025,8月,データ入力・リスト作成,動画の字幕とテロップ用テキストを作成しました,タスク形式,"50,001〜100,000円",10〜20時間,Copilot,Copilot,要約,26〜50%,大幅に修正した,変わらず受けた,AI利用可,わからない,1回,高評価だった,受けてもよい,AI利用の可否は最初に確認しておくと安心です
20代,女性,フリーランス,ランサーズ、ココナラ,2024,10月,翻訳,求人原稿の作成と校正を行いました,固定報酬制,"10,001〜30,000円",10〜20時間,Gemini、Copilot,Gemini,構成案・アウトライン作成、コード生成、キャッチコピー案の作成、要約,26〜50%,ほぼ書き直した,受けたが時間がかかった,ルールなし・不明,伝えていない,3回,問題なく完了した,ぜひ受けたい,専門用語の誤りが多く、そのままでは使えませんでした
40代,女性,パート・アルバイト,クラウドワークス,2025,4月,資料作成,問い合わせ対応用のテンプレート文を整備しました,時間単価制,"10,001〜30,000円",5〜10時間,ChatGPT,ChatGPT,アイデア出し、文章の下書き作成,1〜25%,少し修正した,わからない,AI利用可,伝えていない,2回,修正が多かった,受けたくない,特になし
30代,男性,自営業,ランサーズ、クラウドワークス,2024,11月,翻訳,ECサイトの商品説明文を30本作成しました,固定報酬制,"5,001〜10,000円",10〜20時間,ChatGPT,ChatGPT,コード生成、キャッチコピー案の作成,26〜50%,大幅に修正した,受けたが時間がかかった,AI利用可,わからない,1回,問題なく完了した,どちらとも言えない,たたき台づくりが速くなり、納期に余裕が持てました
20代,女性,パート・アルバイト,ココナラ、SNS経由,2024,6月,プログラミング,動画の字幕とテロップ用テキストを作成しました,時間単価制,"〜5,000円",5〜10時間,Gemini、ChatGPT、Canva AI,ChatGPT,画像生成,76〜99%,半分程度修正した,変わらず受けた,AI利用可,伝えていない,1回,修正が多かった,どちらとも言えない,事実確認は結局自分でやる必要があります
50代,女性,フリーランス,クラウドワークス,2025,9月,データ入力・リスト作成,アンケートの自由記述を分類して集計しました,時間単価制,"30,001〜50,000円",〜1時間,Gemini、ChatGPT,Gemini,議事録の整理、リサーチ・情報収集、文章の下書き作成,76〜99%,ほとんど修正していない,わからない,ルールなし・不明,聞かれたら答えた,0回,問題なく完了した,ぜひ受けたい,
70代以上,女性,主婦・主夫,直接契約,2025,8月,ライティング・記事作成,SNS投稿用の短文を50本作成しました,固定報酬制,"10,001〜30,000円",3〜5時間,Copilot,Copilot,校正・推敲、アイデア出し、画像生成,76〜99%,半分程度修正した,変わらず受けた,ルールなし・不明,わからない,1回,高評価だった,受けたくない,文章の型が単調になりやすいので手を入れています
60代,女性,パート・アルバイト,クラウドワークス,2025,6月,ライティング・記事作成,企業ブログ用の記事を構成案から執筆しました,固定報酬制,"〜5,000円",〜1時間,Claude,Claude,リサーチ・情報収集、構成案・アウトライン作成、文章の下書き作成、翻訳,51〜75%,少し修正した,受けたが時間がかかった,AI利用禁止,伝えていない,0回,修正が多かった,どちらとも言えない,単価が下がってきている気がして複雑です
30代,女性,フリーランス,クラウドワークス、知人からの紹介,2024,6月,Web制作・コーディング,問い合わせ対応用のテンプレート文を整備しました,固定報酬制,"〜5,000円",5〜10時間,Midjourney、ChatGPT,ChatGPT,議事録の整理、構成案・アウトライン作成、文章の下書き作成、翻訳,26〜50%,ほとんど修正していない,受けなかった,AI利用可,聞かれたら答えた,0回,高評価だった,受けてもよい,クライアントに伝えたら好意的に受け止められました
40代,その他,学生,クラウドワークス、直接契約,2025,9月,翻訳,求人原稿の作成と校正を行いました,固定報酬制,"10,001〜30,000円",1〜3時間,Gemini、ChatGPT、Claude,ChatGPT,構成案・アウトライン作成、リサーチ・情報収集、文章の下書き作成、校正・推敲,51〜75%,少し修正した,受けなかった,AI利用に条件あり,わからない,3回,高評価だった,受けてもよい,たたき台づくりが速くなり、納期に余裕が持てました
40代,男性,フリーランス,クラウドワークス、知人からの紹介,2024,10月,カスタマーサポート,英語のマニュアルを日本語に翻訳しました,タスク形式,"30,001〜50,000円",1〜3時間,ChatGPT、Canva AI、Perplexity,ChatGPT,翻訳、要約、構成案・アウトライン作成、リサーチ・情報収集,51〜75%,ほぼ書き直した,わからない,ルールなし・不明,伝えていない,0回,高評価だった,どちらとも言えない,なし
40代,女性,フリーランス,クラウドワークス,2025,6月,ライティング・記事作成,セミナー録音の文字起こしと議事録化を行いました,固定報酬制,"10,001〜30,000円",20時間以上,ChatGPT,ChatGPT,リサーチ・情報収集、翻訳、要約、校正・推敲,51〜75%,ほとんど修正していない,受けたが時間がかかった,AI利用可,伝えた,2回,高評価だった,ぜひ受けたい,納品物の最終責任は自分にあると強く感じます
30代,女性,パート・アルバイト,クラウドワークス、ランサーズ,2025,6月,ライティング・記事作成,動画の字幕とテロップ用テキストを作成しました,固定報酬制,"10,001〜30,000円",20時間以上,Claude、Gemini、Canva AI,Gemini,リサーチ・情報収集、構成案・アウトライン作成、翻訳,76〜99%,少し修正した,受けたが時間がかかった,ルールなし・不明,伝えていない,2回,問題なく完了した,受けてもよい,
50代,女性,自営業,クラウドワークス、SNS経由,2025,10月,ライティング・記事作成,企業ブログ用の記事を構成案から執筆しました,固定報酬制,"10,001〜30,000円",3〜5時間,ChatGPT、Copilot,ChatGPT,表・データの整理、校正・推敲、文章の下書き作成、画像生成,26〜50%,少し修正した,受けたが時間がかかった,AI利用可,聞かれたら答えた,1回,問題なく完了した,受けてもよい,
30代,女性,フリーランス,ココナラ、直接契約,2024,8月,ライティング・記事作成,バナー用のラフ画像を生成しました,固定報酬制,"30,001〜50,000円",20時間以上,Claude、ChatGPT、Gemini、NotebookLM,ChatGPT,リサーチ・情報収集、翻訳、校正・推敲、構成案・アウトライン作成,76〜99%,半分程度修正した,受けたが時間がかかった,AI利用に条件あり,伝えていない,3回,契約解除・不採用になった,受けてもよい,下調べの時間が減った分、推敲に時間を回せました
50代,男性,会社員（副業として）,クラウドワークス、ココナラ,2025,10月,プログラミング,企業ブログ用の記事を構成案から執筆しました,固定報酬制,"5,001〜10,000円",5〜10時間,ChatGPT、Claude、Copilot,ChatGPT,校正・推敲、翻訳、リサーチ・情報収集,51〜75%,大幅に修正した,受けたが時間がかかった,AI利用可,伝えていない,2回,問題なく完了した,どちらとも言えない,納品物の最終責任は自分にあると強く感じます
40代,男性,フリーランス,クラウドワークス、SNS経由,2024,5月,データ入力・リスト作成,SNS投稿用の短文を50本作成しました,タスク形式,"5,001〜10,000円",3〜5時間,Gemini、ChatGPT、Claude、Copilot,Claude,キャッチコピー案の作成、コード生成、構成案・アウトライン作成、校正・推敲,76〜99%,半分程度修正した,変わらず受けた,ルールなし・不明,伝えた,4回以上,高評価だった,どちらとも言えない,
60代,男性,主婦・主夫,クラウドワークス,2024,5月,ライティング・記事作成,プレスリリースの下書きを作成しました,固定報酬制,"5,001〜10,000円",〜1時間,Copilot、ChatGPT,ChatGPT,校正・推敲、構成案・アウトライン作成、リサーチ・情報収集、文章の下書き作成,76〜99%,半分程度修正した,受けたが時間がかかった,AI利用可,わからない,1回,高評価だった,受けてもよい,
30代,回答しない,会社員（副業として）,クラウドワークス,2024,7月,画像・イラスト制作,英語のマニュアルを日本語に翻訳しました,固定報酬制,"30,001〜50,000円",〜1時間,ChatGPT、NotebookLM,ChatGPT,アイデア出し、文章の下書き作成,26〜50%,半分程度修正した,変わらず受けた,AI利用可,伝えた,1回,問題なく完了した,受けてもよい,
